,# index, name, nodeLabel, _pos
141,141,Democratic_Republic_of_the_Congo,Democratic_Republic_of_the_Congo,"array([-4.32724791, -3.91282207])"
10,10,Denmark,Denmark,"array([-4.44090727, -3.96595421])"
142,142,Djibouti,Djibouti,"array([-4.3501643 , -4.08737095])"
63,63,Dominica,Dominica,"array([-4.3220328 , -4.00829568])"
64,64,Dominican_Republic,Dominican_Republic,"array([-4.39096318, -4.03630341])"
65,65,Ecuador,Ecuador,"array([-4.3840916 , -3.96683688])"
11,11,Egypt,Egypt,"array([-4.45397015, -3.9469371 ])"
96,96,El_Salvador,El_Salvador,"array([-4.36308748, -3.97760598])"
196,196,Equatorial_Guinea,Equatorial_Guinea,"array([-4.48119079, -3.73746885])"
143,143,Eritrea,Eritrea,"array([-4.23154769, -4.01525615])"
97,97,Estonia,Estonia,"array([-4.47792262, -3.9845879 ])"
66,66,Ethiopia,Ethiopia,"array([-4.42522721, -3.91900788])"
173,173,Falkland_Islands_(Malvinas),Falkland_Islands_(Malvinas),"array([-4.61259564, -3.87356467])"
197,197,Faroe_Islands,Faroe_Islands,"array([-4.54097036, -4.13385086])"
98,98,Fiji,Fiji,"array([-4.42249141, -3.90642517])"
12,12,Finland,Finland,"array([-4.45689288, -3.97124506])"
13,13,France,France,"array([-4.42610024, -3.97910515])"
181,181,French_Polynesia,French_Polynesia,"array([-4.45366335, -3.92647439])"
182,182,Gabon,Gabon,"array([-4.29736717, -4.04577467])"
192,192,Gambia,Gambia,"array([-4.48927126, -3.9964161 ])"
99,99,Georgia,Georgia,"array([-4.48825233, -3.97754766])"
14,14,Germany,Germany,"array([-4.43964088, -3.972033  ])"
118,118,Ghana,Ghana,"array([-4.40445694, -3.99813696])"
67,67,Greece,Greece,"array([-4.44518116, -3.98535167])"
202,202,Greenland,Greenland,"array([-4.55099791, -3.93152833])"
170,170,Grenada,Grenada,"array([-4.2861704 , -3.95545547])"
174,174,Guam,Guam,"array([-4.49487355, -3.7923457 ])"
15,15,Guatemala,Guatemala,"array([-4.37916255, -3.97680568])"
144,144,Guinea,Guinea,"array([-4.52551108, -4.02537834])"
193,193,Guinea-Bissau,Guinea-Bissau,"array([-4.57565156, -4.08620051])"
119,119,Guyana,Guyana,"array([-4.35646721, -3.99207998])"
183,183,Haiti,Haiti,"array([-4.4057147 , -3.85093588])"
100,100,Honduras,Honduras,"array([-4.34833872, -3.94742817])"
68,68,Hungary,Hungary,"array([-4.45571843, -3.98937148])"
101,101,Iceland,Iceland,"array([-4.4189549 , -4.00977749])"
16,16,India,India,"array([-4.43276577, -3.95650527])"
17,17,Indonesia,Indonesia,"array([-4.41843738, -3.94635162])"
18,18,Iran_(Islamic_Republic_of),Iran_(Islamic_Republic_of),"array([-4.46331076, -3.94548478])"
19,19,Iraq,Iraq,"array([-4.52375299, -4.04923626])"
20,20,Ireland,Ireland,"array([-4.42965222, -3.99327689])"
69,69,Israel,Israel,"array([-4.42161073, -3.99243358])"
21,21,Italy,Italy,"array([-4.43761542, -3.97988939])"
102,102,Jamaica,Jamaica,"array([-4.37239207, -3.96872433])"
22,22,Japan,Japan,"array([-4.41811024, -3.95608836])"
145,145,Jordan,Jordan,"array([-4.43296058, -3.93782253])"
23,23,Kazakhstan,Kazakhstan,"array([-4.52530906, -3.95232823])"
70,70,Kenya,Kenya,"array([-4.39923232, -3.93892954])"
206,206,Kiribati,Kiribati,"array([-4.59542925, -3.82265655])"
171,171,Kuwait,Kuwait,"array([-4.47743586, -3.88632543])"
71,71,Kyrgyzstan,Kyrgyzstan,"array([-4.49325143, -3.95502081])"
146,146,Lao_People's_Democratic_Republic,Lao_People's_Democratic_Republic,"array([-4.51796948, -4.00041512])"
120,120,Latvia,Latvia,"array([-4.47556153, -3.99296712])"
24,24,Lebanon,Lebanon,"array([-4.44140657, -3.95584414])"
191,191,Lesotho,Lesotho,"array([-4.21897982, -3.89303558])"
184,184,Liberia,Liberia,"array([-4.4487459 , -3.83263534])"
203,203,Libya,Libya,"array([-4.38379798, -4.07958411])"
72,72,Lithuania,Lithuania,"array([-4.47194965, -3.9757424 ])"
73,73,Luxembourg,Luxembourg,"array([-4.46904466, -4.00369409])"
103,103,Madagascar,Madagascar,"array([-4.38219139, -3.95370426])"
74,74,Malawi,Malawi,"array([-4.39267592, -3.91126512])"
25,25,Malaysia,Malaysia,"array([-4.42557835, -3.9443882 ])"
211,211,Maldives,Maldives,"array([-4.43702465, -3.91400698])"
121,121,Mali,Mali,"array([-4.48554347, -4.05804904])"
147,147,Malta,Malta,"array([-4.48037041, -3.9665681 ])"
148,148,Marshall_Islands,Marshall_Islands,"array([-4.27947449, -4.08874669])"
212,212,Mauritania,Mauritania,"array([-4.45075252, -4.0359256 ])"
149,149,Mauritius,Mauritius,"array([-4.40823593, -3.93216948])"
210,210,Mayotte,Mayotte,"array([-4.36891428, -3.71483761])"
75,75,Mexico,Mexico,"array([-4.39671682, -3.97097124])"
204,204,Micronesia_(Federated_States_of),Micronesia_(Federated_States_of),"array([-4.2173086 , -3.84633574])"
150,150,Mongolia,Mongolia,"array([-4.34143599, -3.87241714])"
76,76,Montenegro,Montenegro,"array([-4.47613785, -4.01757179])"
198,198,Montserrat,Montserrat,"array([-4.23875556, -3.79983294])"
77,77,Morocco,Morocco,"array([-4.41378848, -3.99979725])"
151,151,Mozambique,Mozambique,"array([-4.40455445, -3.87524869])"
152,152,Myanmar,Myanmar,"array([-4.35719061, -3.92433455])"
153,153,Namibia,Namibia,"array([-4.38303996, -3.86693981])"
122,122,Nauru,Nauru,"array([-4.31946468, -3.75382884])"
154,154,Nepal,Nepal,"array([-4.46279893, -3.91822145])"
26,26,Netherlands,Netherlands,"array([-4.43220685, -3.97511592])"
128,128,Netherlands_Antilles,Netherlands_Antilles,"array([-4.40553948, -4.07748835])"
155,155,New_Caledonia,New_Caledonia,"array([-4.46291076, -3.93359201])"
104,104,New_Zealand,New_Zealand,"array([-4.41918619, -3.93993279])"
78,78,Nicaragua,Nicaragua,"array([-4.36083461, -3.96621489])"
156,156,Niger,Niger,"array([-4.42412447, -4.04103686])"
123,123,Nigeria,Nigeria,"array([-4.40557933, -4.04106773])"
194,194,Niue,Niue,"array([-4.31368089, -4.12943268])"
79,79,Norway,Norway,"array([-4.41159079, -3.97957616])"
185,185,Occupied_Palestinian_Territory,Occupied_Palestinian_Territory,"array([-4.52458764, -3.91588809])"
124,124,Oman,Oman,"array([-4.44178452, -3.92522591])"
27,27,Pakistan,Pakistan,"array([-4.44179672, -3.94556215])"
205,205,Palau,Palau,"array([-4.55206149, -3.76474459])"
80,80,Panama,Panama,"array([-4.3504927, -4.0094846])"
105,105,Papua_New_Guinea,Papua_New_Guinea,"array([-4.4944238 , -3.89572239])"
106,106,Paraguay,Paraguay,"array([-4.37445156, -4.03193049])"
107,107,Peru,Peru,"array([-4.39479762, -3.99342037])"
28,28,Philippines,Philippines,"array([-4.39741034, -3.95782011])"
29,29,Poland,Poland,"array([-4.44360846, -3.99038595])"
81,81,Portugal,Portugal,"array([-4.4261781 , -3.99910682])"
157,157,Qatar,Qatar,"array([-4.44134046, -3.93441094])"
30,30,Republic_of_Korea,Republic_of_Korea,"array([-4.40484886, -3.96071709])"
82,82,Republic_of_Moldova,Republic_of_Moldova,"array([-4.45329893, -4.01088261])"
83,83,Romania,Romania,"array([-4.46140542, -3.97582687])"
31,31,Russian_Federation,Russian_Federation,"array([-4.45139616, -3.96192079])"
158,158,Rwanda,Rwanda,"array([-4.35353403, -3.90839103])"
207,207,"Saint_Helena,_Ascension_and_Tristan_da_Cunha","Saint_Helena,_Ascension_and_Tristan_da_Cunha","array([-4.7154425 , -3.83829572])"
176,176,Saint_Kitts_and_Nevis,Saint_Kitts_and_Nevis,"array([-4.26444893, -3.90810578])"
159,159,Saint_Lucia,Saint_Lucia,"array([-4.29091441, -3.98495685])"
199,199,Saint_Pierre_and_Miquelon,Saint_Pierre_and_Miquelon,"array([-4.2936013 , -4.28467882])"
177,177,Saint_Vincent_and_the_Grenadines,Saint_Vincent_and_the_Grenadines,"array([-4.34689394, -3.98176101])"
160,160,Samoa,Samoa,"array([-4.35900044, -3.82577413])"
84,84,Sao_Tome_and_Principe,Sao_Tome_and_Principe,"array([-4.39878809, -4.13852664])"
32,32,Saudi_Arabia,Saudi_Arabia,"array([-4.44809204, -3.95398355])"
186,186,Senegal,Senegal,"array([-4.42136675, -4.01943728])"
85,85,Serbia,Serbia,"array([-4.45967565, -4.00430255])"
188,188,Seychelles,Seychelles,"array([-4.37189195, -4.10784931])"
125,125,Sierra_Leone,Sierra_Leone,"array([-4.51952451, -3.88935549])"
33,33,Singapore,Singapore,"array([-4.43357943, -3.94985082])"
86,86,Slovakia,Slovakia,"array([-4.46534444, -3.99295517])"
87,87,Slovenia,Slovenia,"array([-4.4438476 , -4.00676404])"
161,161,Solomon_Islands,Solomon_Islands,"array([-4.57707038, -4.00423335])"
175,175,Somalia,Somalia,"array([-4.49933193, -3.8418984 ])"
108,108,South_Africa,South_Africa,"array([-4.4086074 , -3.95440968])"
34,34,Spain,Spain,"array([-4.42646662, -3.98601331])"
109,109,Sri_Lanka,Sri_Lanka,"array([-4.42876867, -3.93088579])"
110,110,Sudan_(former),Sudan_(former),"array([-4.44658323, -3.86698413])"
129,129,Suriname,Suriname,"array([-4.36645592, -3.95307256])"
162,162,Swaziland,Swaziland,"array([-4.34923932, -4.02869622])"
35,35,Sweden,Sweden,"array([-4.43626683, -3.98668201])"
36,36,Switzerland,Switzerland,"array([-4.42072202, -3.97713767])"
88,88,Syrian_Arab_Republic,Syrian_Arab_Republic,"array([-4.44823842, -3.997586  ])"
37,37,Tajikistan,Tajikistan,"array([-4.5464058 , -3.98179869])"
38,38,Thailand,Thailand,"array([-4.41938341, -3.9677388 ])"
89,89,The_former_Yugoslav_Republic_of_Macedonia,The_former_Yugoslav_Republic_of_Macedonia,"array([-4.46205085, -4.01369091])"
163,163,Timor-Leste,Timor-Leste,"array([-4.54947091, -3.84332989])"
172,172,Togo,Togo,"array([-4.39328933, -4.02503068])"
164,164,Tonga,Tonga,"array([-4.42554213, -3.88327332])"
111,111,Trinidad_and_Tobago,Trinidad_and_Tobago,"array([-4.37235386, -3.98537086])"
90,90,Tunisia,Tunisia,"array([-4.43158406, -4.01010745])"
39,39,Turkey,Turkey,"array([-4.44645068, -3.97018981])"
40,40,Turkmenistan,Turkmenistan,"array([-4.56204179, -3.95814472])"
200,200,Turks_and_Caicos_Islands,Turks_and_Caicos_Islands,"array([-4.29262248, -3.86741574])"
208,208,Tuvalu,Tuvalu,"array([-4.45084421, -3.60849444])"
91,91,Uganda,Uganda,"array([-4.39324624, -3.92490004])"
41,41,Ukraine,Ukraine,"array([-4.46323122, -3.96569219])"
42,42,United_Arab_Emirates,United_Arab_Emirates,"array([-4.41759561, -3.92917329])"
43,43,United_Kingdom,United_Kingdom,"array([-4.42496545, -3.97071574])"
112,112,United_Republic_of_Tanzania,United_Republic_of_Tanzania,"array([-4.4081896, -3.9187246])"
44,44,United_States_of_America,United_States_of_America,"array([-4.41270545, -3.96789979])"
92,92,Unspecified,Unspecified,"array([-4.44183768, -4.01791378])"
113,113,Uruguay,Uruguay,"array([-4.40399996, -4.02312541])"
45,45,Uzbekistan,Uzbekistan,"array([-4.51102469, -3.93551784])"
165,165,Vanuatu,Vanuatu,"array([-4.45267301, -3.90428154])"
93,93,Venezuela_(Bolivarian_Republic_of),Venezuela_(Bolivarian_Republic_of),"array([-4.38143781, -4.00278116])"
46,46,Viet_Nam,Viet_Nam,"array([-4.43505543, -3.99848696])"
166,166,Yemen,Yemen,"array([-4.47154764, -3.86591478])"
114,114,Zambia,Zambia,"array([-4.37851832, -3.91829324])"
167,167,Zimbabwe,Zimbabwe,"array([-4.3792728 , -3.93112331])"
